team,group,confederation,fifa_rank,player_name,position,age,is_starter,pace,shooting,passing,dribbling,defending,physical,overall,playstyle,ratings_source,ranking_date,ranking_source,data_quality
Czechia,A,UEFA,40,Czechia Centre Back 1,CB,28,True,70,46,68,66,82,83,74,stopper,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Centre Back 2,CB,30,True,68,44,71,67,81,82,73,ball_playing_cb,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Defensive Midfielder,CDM,28,True,72,64,78,74,80,80,74,ball_winner,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Central Midfielder 1,CM,26,True,74,71,81,78,75,75,75,box_to_box,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Central Midfielder 2,CM,29,True,73,69,82,77,74,74,74,deep_lying_pm,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Goalkeeper,GK,29,True,50,35,66,56,82,79,74,traditional_gk,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Left Back,LB,27,True,79,60,74,75,76,75,73,full_back,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Left Winger,LW,25,True,82,79,77,82,48,69,75,dribbler,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Right Back,RB,27,True,80,61,74,75,76,75,73,full_back,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Right Winger,RW,25,True,82,78,77,81,48,69,74,dribbler,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Czechia,A,UEFA,40,Czechia Striker,ST,27,True,78,84,71,77,45,79,75,complete_fwd,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Centre Back 1,CB,28,True,77,53,75,73,89,90,81,stopper,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Centre Back 2,CB,30,True,75,51,78,74,88,89,80,ball_playing_cb,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Defensive Midfielder,CDM,28,True,79,71,85,81,87,87,81,ball_winner,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Central Midfielder 1,CM,26,True,81,78,88,85,82,82,82,box_to_box,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Central Midfielder 2,CM,29,True,80,76,89,84,81,81,81,deep_lying_pm,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Goalkeeper,GK,29,True,57,35,73,63,89,86,81,traditional_gk,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Left Back,LB,27,True,86,67,81,82,83,82,80,full_back,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Left Winger,LW,25,True,89,86,84,89,55,76,82,dribbler,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Right Back,RB,27,True,87,68,81,82,83,82,80,full_back,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Right Winger,RW,25,True,89,85,84,88,55,76,81,dribbler,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
Mexico,A,CONCACAF,14,Mexico Striker,ST,27,True,85,91,78,84,52,86,82,complete_fwd,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
South Africa,A,CAF,60,South Africa Centre Back 1,CB,28,True,69,45,67,65,81,82,73,stopper,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
South Africa,A,CAF,60,South Africa Centre Back 2,CB,30,True,67,43,70,66,80,81,72,ball_playing_cb,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
South Africa,A,CAF,60,South Africa Defensive Midfielder,CDM,28,True,71,63,77,73,79,79,73,ball_winner,generated_team_profile,2026-06-11,"FIFA official ranking, mirrored by Sofascore",tier1_generated_from_team_profile
